Date,Open,High,Low,Close
20-Aug-19,14268.19,14278.31,14152.08,14193.91
19-Aug-19,14286.26,14354.61,14235.25,14252.7
16-Aug-19,14226.26,14253.24,14078.85,14235.18
14-Aug-19,14172.33,14255.03,14100.22,14211.79
13-Aug-19,14382.98,14382.98,14060.26,14083.35
09-Aug-19,14295.13,14424.42,14275.79,14334.42
08-Aug-19,14069.37,14256.96,14016.2,14230.48
07-Aug-19,14144.5,14183.7,14004.11,14028.89
06-Aug-19,13946.64,14195.7,13936.63,14128.2
05-Aug-19,14088.39,14088.39,13891.2,13993.11
02-Aug-19,14119.98,14264.61,13974.43,14165.4
01-Aug-19,14296.83,14296.83,14033.98,14152.74
31-Jul-19,14224.59,14345.92,14144.39,14324.12
30-Jul-19,14441.59,14513.49,14246.66,14260.4
29-Jul-19,14592.16,14592.16,14379.79,14424.07
26-Jul-19,14507.74,14574.22,14451.39,14553.92
25-Jul-19,14531,14619.58,14484.78,14503.37
24-Jul-19,14627.14,14652.69,14463.46,14502.25
23-Jul-19,14673.61,14690.65,14585.93,14617.72
22-Jul-19,14737.58,14737.58,14567.35,14641.86
19-Jul-19,15025.92,15031.2,14711.37,14736.48
18-Jul-19,15108.43,15108.43,14961.62,14970.66
17-Jul-19,15105.34,15142.75,15074.82,15111.61
16-Jul-19,15013.54,15097.32,14966.83,15091.12
15-Jul-19,15051.91,15054.74,14927.88,14991.05
12-Jul-19,15023.03,15070.84,14957.5,14971.95
11-Jul-19,14943.56,15000.95,14909.5,14985.77
10-Jul-19,14967.49,15013.46,14862.95,14881.72
09-Jul-19,14969.27,14999.48,14848.06,14970.24
08-Jul-19,15278.08,15278.08,14919.49,14960.48
05-Jul-19,15510.74,15527.12,15271.64,15291.98
04-Jul-19,15481.35,15505.91,15461.98,15479.27
03-Jul-19,15463.77,15477.5,15413.25,15450.21
02-Jul-19,15420.45,15436.11,15322.48,15429.64
01-Jul-19,15342.83,15401.89,15342.52,15380.24
28-Jun-19,15370.11,15379.49,15273.1,15291.7
27-Jun-19,15345.77,15413.82,15325.45,15350.45
26-Jun-19,15235.72,15357.44,15214.12,15332.21
25-Jun-19,15149.17,15268.3,15082.33,15253.6
24-Jun-19,15173.42,15207.42,15113.91,15144.88
21-Jun-19,15279.3,15279.6,15144.84,15172.48
20-Jun-19,15071.3,15289.63,15010.74,15277.09
19-Jun-19,15174.5,15254.2,15008.73,15089.68
18-Jun-19,15135.95,15177.38,15066.39,15128.25
17-Jun-19,15322.59,15329.98,15091,15106.5
14-Jun-19,15446.4,15446.42,15279.35,15304.57
13-Jun-19,15417.52,15444.41,15308.93,15426.8
12-Jun-19,15533.02,15534.14,15405.18,15436.56
11-Jun-19,15493.38,15558.14,15430.19,15524.17
10-Jun-19,15473.3,15536.12,15404.54,15458.4
07-Jun-19,15412.17,15453.24,15286.86,15413.04
06-Jun-19,15652.5,15654.93,15380.09,15395.54
04-Jun-19,15696.49,15742.11,15620.99,15636
03-Jun-19,15551.89,15716.63,15515.66,15705.3
31-May-19,15594.8,15657.45,15410.87,15517.9
30-May-19,15479.26,15560.68,15456.63,15543.65
29-May-19,15554.52,15554.58,15421.49,15447.89
28-May-19,15563.95,15573.67,15477.05,15551.66
27-May-19,15421.4,15556.2,15364.06,15523.6
24-May-19,15215.35,15401.43,15144.88,15392.19
23-May-19,15370.82,15568.1,15071.53,15123.2
22-May-19,15197.63,15242.57,15127.94,15193.67
21-May-19,15349.62,15375.35,15123.23,15156.71
20-May-19,15045.46,15319.41,15016.01,15304.65
17-May-19,14623.91,14784.23,14595.95,14767.17
16-May-19,14515.53,14632.9,14465.56,14596.24
15-May-19,14637.03,14668.16,14477.72,14497.75
14-May-19,14503.64,14656.46,14424.1,14578.47
13-May-19,14706.56,14706.56,14466.05,14495.61
10-May-19,14741.62,14776.96,14670.16,14699.29
09-May-19,14774.13,14781.84,14655.61,14716.32
08-May-19,14947.13,14947.97,14767.16,14780.67
